# OS Name | Device Class | Device Name | Brand | OS Class
ASPLinux|Desktop|Linux Desktop|Unknown|Desktop
CentOS|Desktop|Linux Desktop|Unknown|Desktop
Debian|Desktop|Linux Desktop|Unknown|Desktop
Debian GNU|Desktop|Linux Desktop|Unknown|Desktop
Fedora|Desktop|Linux Desktop|Unknown|Desktop
FoxOS|Desktop|Linux Desktop|Unknown|Desktop
Joli OS|Desktop|Linux Desktop|Unknown|Desktop
JoliCloud|Desktop|Linux Desktop|Unknown|Desktop
Linpus|Desktop|Linux Desktop|Unknown|Desktop
Linspire|Desktop|Linux Desktop|Unknown|Desktop
Mandriva|Desktop|Linux Desktop|Unknown|Desktop
Mint|Desktop|Linux Desktop|Unknown|Desktop
Linux Mint|Desktop|Linux Desktop|Unknown|Desktop
Edition Linux Mint|Desktop|Linux Desktop|Unknown|Desktop
Moblin|Desktop|Linux Desktop|Unknown|Desktop
Namoroka|Desktop|Linux Desktop|Unknown|Desktop
NaverBot|Desktop|Linux Desktop|Unknown|Desktop
PCLinuxOS|Desktop|Linux Desktop|Unknown|Desktop
Slackware|Desktop|Linux Desktop|Unknown|Desktop
SUSE|Desktop|Linux Desktop|Unknown|Desktop
Ubuntu|Desktop|Linux Desktop|Unknown|Desktop
Kubuntu|Desktop|Linux Desktop|Unknown|Desktop
Xubuntu|Desktop|Linux Desktop|Unknown|Desktop
Yoper|Desktop|Linux Desktop|Unknown|Desktop

SunOS|Desktop|Sun Desktop|Sun Microsystems|Desktop
Solaris|Desktop|Linux Desktop|Sun Microsystems|Desktop
illumOS|Desktop|OpenSolaris Desktop|Unknown|Desktop

MeeGo|Mobile|MeeGo Device|Nokia|Mobile
PalmSource|Mobile|PalmOS PDA|Palm|Mobile

SymbianOS|Phone|SymbianOS Phone|Nokia|Mobile

FreeBSD|Desktop|FreeBSD Desktop|Unknown|Desktop
NetBSD|Desktop|NetBSD Desktop|Unknown|Desktop
OpenBSD|Desktop|OpenBSD Desktop|Unknown|Desktop
