# OS Name | Device Class | Device Name
ASPLinux|Desktop|Linux Desktop
CentOS|Desktop|Linux Desktop
Debian|Desktop|Linux Desktop
Debian GNU|Desktop|Linux Desktop
Fedora|Desktop|Linux Desktop
FoxOS|Desktop|Linux Desktop
Joli OS|Desktop|Linux Desktop
JoliCloud|Desktop|Linux Desktop
Linpus|Desktop|Linux Desktop
Linspire|Desktop|Linux Desktop
Mandriva|Desktop|Linux Desktop
Mint|Desktop|Linux Desktop
Linux Mint|Desktop|Linux Desktop
Edition Linux Mint|Desktop|Linux Desktop
Moblin|Desktop|Linux Desktop
Namoroka|Desktop|Linux Desktop
NaverBot|Desktop|Linux Desktop
PCLinuxOS|Desktop|Linux Desktop
Slackware|Desktop|Linux Desktop
Solaris|Desktop|Linux Desktop
SUSE|Desktop|Linux Desktop
Ubuntu|Desktop|Linux Desktop
Kubuntu|Desktop|Linux Desktop
Xubuntu|Desktop|Linux Desktop
Yoper|Desktop|Linux Desktop

illumOS|Desktop|OpenSolaris Desktop
#MeeGo
SunOS|Desktop|Sun Desktop


SymbianOS|Phone|SymbianOS Phone

FreeBSD|Desktop|FreeBSD Desktop
NetBSD|Desktop|NetBSD Desktop
OpenBSD|Desktop|OpenBSD Desktop
