# Field text | OS Name| OS Version

# Official tags
Windows NT 10.0|Windows NT|Windows 10.0
Windows NT 6.4|Windows NT|Windows 10 Preview
Windows NT 6.3|Windows NT|Windows 8.1
Windows NT 6.2|Windows NT|Windows 8
Windows NT 6.1|Windows NT|Windows 7
Windows NT 6.0|Windows NT|Windows Vista
Windows NT 5.2|Windows NT|Windows XP x64 Edition
Windows NT 5.1|Windows NT|Windows XP
Windows NT 5.01|Windows NT|Windows 2000, Service Pack 1 (SP1)
Windows NT 5.0|Windows NT|Windows 2000
Windows 2000|Windows NT|Windows 2000
Windows NT 4.0|Windows NT|Windows NT 4.0
Windows NT|Windows NT|Windows NT


# Broken tags (i.e. without the NT part)
Windows 10.0|Windows NT|Windows 10.0
Windows 6.4|Windows NT|Windows 10 Preview
Windows 6.3|Windows NT|Windows 8.1
Windows 6.2|Windows NT|Windows 8
Windows 6.1|Windows NT|Windows 7
Windows 6.0|Windows NT|Windows Vista
Windows 5.2|Windows NT|Windows XP x64 Edition
Windows 5.1|Windows NT|Windows XP
Windows 5.01|Windows NT|Windows 2000, Service Pack 1 (SP1)
Windows 5.0|Windows NT|Windows 2000
Windows 4.0|Windows NT|Windows NT 4.0

# Broken tags: The OS name as tag
Windows 10|Windows NT|Windows 10.0
Windows 8.1|Windows NT|Windows 8.1
Windows 8|Windows NT|Windows 8
Windows 7|Windows NT|Windows 7
Windows Vista|Windows NT|Windows Vista
Windows XP|Windows NT|Windows XP

# Really old versions
Win 9x 4.90|Windows 9x|Windows Millennium Edition
Windows 98|Windows 9x|Windows 98
Windows 95|Windows 9x|Windows 95
Windows CE|Windows CE|Windows CE
